FunctionName,Brief,DEVICE_ID_NOTFOUND,DEVICE_ID_CORVID1,DEVICE_ID_CORVID3G,DEVICE_ID_KONALHI,DEVICE_ID_KONALHIDVI,DEVICE_ID_KONALHEPLUS,DEVICE_ID_IOEXPRESS,DEVICE_ID_CORVID22,DEVICE_ID_KONA3G,DEVICE_ID_KONA3GQUAD,DEVICE_ID_CORVID24,DEVICE_ID_IOXT,DEVICE_ID_TTAP,DEVICE_ID_IO4K,DEVICE_ID_IO4KUFC,DEVICE_ID_CORVID88,DEVICE_ID_KONA4,DEVICE_ID_KONA4UFC,DEVICE_ID_CORVID44,DEVICE_ID_CORVIDHEVC,DEVICE_ID_CORVIDHBR,DEVICE_ID_KONAIP_4CH_1SFP,DEVICE_ID_KONAIP_4CH_2SFP,DEVICE_ID_KONAIP_1RX_1TX_1SFP_J2K,DEVICE_ID_KONAIP_2TX_1SFP_J2K,DEVICE_ID_KONAIP_2RX_1SFP_J2K,DEVICE_ID_KONAIP_1RX_1TX_2110,DEVICE_ID_IO4KPLUS,DEVICE_ID_IO4KIP,DEVICE_ID_KONAIP_4TX_2110,DEVICE_ID_KONAALPHA
NTV2DeviceCanDoThunderbolt,Returns true if the device having the given ID connects to the host using a Thunderbolt cable.,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-
NTV2DeviceCanDoVideoProcessing,,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanMeasureTemperature,Returns true if the device having the given ID can measure its temperature.,-,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanReportFrameSize,,-,-,-,-,-,-,-,-,-,-,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceHasBiDirectionalSDI,Returns true if the SDI connectors on the device having the given ID are bi-directional.,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,-,-,X,X,-,-,-,X,X,X,X,-
NTV2DeviceHasColorSpaceConverterOnChannel2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceHasNWL,Returns true if the device having the given ID has NorthWest Logic DMA hardware.,-,-,-,-,-,-,-,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,-,X,-
NTV2DeviceHasPCIeGen2,Returns true if the device having the given ID supports 2nd-generation PCIe.,-,-,-,-,-,X,-,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,-,X,X
NTV2DeviceHasRetailSupport,Returns true if the device can be configured and controlled by the retail services and AJA Control Panel.,-,-,-,X,X,X,X,-,X,X,-,X,X,X,X,-,X,X,-,-,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceHasSDIRelays,Returns true if the device having the given ID has bypass relays on its SDI connectors.,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceHasSPIFlash,,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceHasSPIFlashSerial,,-,-,-,-,-,X,-,-,X,X,X,X,X,X,X,X,X,X,X,X,X,-,-,-,-,-,-,X,X,-,X
NTV2DeviceHasSPIv2,Returns true if the device having the given ID uses version 2 SPI hardware.,-,-,-,-,-,X,-,-,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceHasSPIv3,Returns true if the device having the given ID uses version 3 SPI hardware.,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-
NTV2DeviceHasSPIv4,Returns true if the device having the given ID uses version 4 SPI hardware.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,-,X,X,-
NTV2DeviceIs64Bit,,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceIsDirectAddressable,,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceIsExternalToHost,Returns true if the device having the given ID connects to the host with a cable.,-,-,-,-,-,-,X,-,-,-,-,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-
NTV2DeviceIsSupported,Returns true if the device having the given ID is supported by this SDK.,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceNeedsRoutingSetup,Returns true if the routing for the device having the given ID can be queried and/or changed.,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceSoftwareCanChangeFrameBufferSize,,-,-,-,-,-,-,-,-,X,-,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-
NTV2DeviceCanThermostat,Returns true if the fan on the device having the given ID can be thermostatically controlled.,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-
NTV2DeviceHasHEVCM31,Returns true if the device having the given ID has an HEVC M31 encoder.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceHasHEVCM30,Returns true if the device having the given ID has an HEVC M30 encoder/decoder.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoVITC2,Returns true if the device having the given ID can insert and/or extract RP-188/VITC2.,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoHDMIHDROut,Returns true if the device having the given ID supports HDMI HDR output.,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,X,X,X,X,X,X,X,X,X,-
NTV2DeviceCanDoJ2K,Returns true if the device supports the JPEG 2000 codec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-
NTV2DeviceCanDo2110,Returns true if the device supports SMPTE 2110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-
NTV2DeviceHasXilinxDMA,Returns true if the device has Xilinx DMA engine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,X
NTV2DeviceCanDo12GSDI,Returns true if the device supports 12G SDI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
NTV2DeviceHasSPIv5,Returns true if the device having the given ID uses version 5 SPI hardware.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X
NTV2DeviceCanDoAudioMixer,Returns true if the device supports an audio mixer ? firmware dependent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-
NTV2DeviceHasGenlockv2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,X
